iid,pid,gender,age,age_o,d_age,race,race_o,samerace,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,expected_num_interested_in_me,expected_num_matches,like,guess_prob_liked,met,decision,decision_o,match,
2,12,female,24,22,2,european/caucasian-american,european/caucasian-american,1,2,5,law,60,0,0,40,0,0,7,6,10,6,6,5,45,5,25,20,0,5,7,5,10,8,3,8,5,6,6,9,6,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.18,4,5,3,7,3,0,0,0,0,
2,13,female,24,22,2,european/caucasian-american,asian/pacific islander/asian-american,0,2,5,law,19,18,19,18,14,12,10,10,10,10,10,10,45,5,25,20,0,5,7,5,10,8,3,5,8,9,6,3,4,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.1,4,5,3,6,7,0,0,1,0,
2,14,female,24,23,1,european/caucasian-american,european/caucasian-american,1,2,5,law,30,5,15,40,5,5,9,9,9,9,9,9,45,5,25,20,0,5,7,5,10,8,3,7,9,7,6,5,7,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,-0.21,4,5,3,7,8,0,1,1,1,
2,15,female,24,24,0,european/caucasian-american,latino/hispanic american,0,2,5,law,30,10,20,10,10,20,10,10,10,10,7,8,45,5,25,20,0,5,7,5,10,8,3,6,8,7,9,7,8,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.32,4,5,3,8,6,1,0,1,0,
2,16,female,24,25,1,european/caucasian-american,european/caucasian-american,1,2,5,law,50,0,30,10,0,10,7,8,7,5,7,7,45,5,25,20,0,5,7,5,10,8,3,8,7,8,3,6,2,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.73,4,5,3,6,5,0,0,1,0,
2,17,female,24,30,6,european/caucasian-american,european/caucasian-american,1,2,5,law,35,15,25,10,5,10,5,3,4,3,5,3,45,5,25,20,0,5,7,5,10,8,3,7,5,9,6,7,9,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.6,4,5,3,8,7,0,1,0,0,
2,18,female,24,27,3,european/caucasian-american,european/caucasian-american,1,2,5,law,33.33,11.11,11.11,11.11,11.11,22.22,7,7,7,7,7,5,45,5,25,20,0,5,7,5,10,8,3,5,8,7,5,9,5,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.07,4,5,3,5,6,0,0,1,0,
2,19,female,24,28,4,european/caucasian-american,european/caucasian-american,1,2,5,law,50,0,25,10,0,15,8,6,9,9,8,7,45,5,25,20,0,5,7,5,10,8,3,7,6,8,9,4,5,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.11,4,5,3,5,6,0,1,1,1,
2,20,female,24,24,0,european/caucasian-american,european/caucasian-american,1,2,5,law,100,0,0,0,0,0,6,5,7,7,9,7,45,5,25,20,0,5,7,5,10,8,3,6,7,8,7,9,8,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.39,4,5,3,8,7,0,1,0,0,
3,11,female,25,27,2,european/caucasian-american,european/caucasian-american,1,8,4,economics,35,20,20,20,0,5,7,8,6,5,8,4,35,10,35,10,10,0,8,9,8,9,8,7,9,10,7,8,9,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,-0.24,4,2,,8,7,1,0,0,0,
3,12,female,25,22,3,european/caucasian-american,european/caucasian-american,1,8,4,economics,60,0,0,40,0,0,6,7,10,6,6,5,35,10,35,10,10,0,8,9,8,9,8,9,7,9,8,9,7,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,-0.14,4,2,,8,7,0,0,0,0,
3,13,female,25,22,3,european/caucasian-american,asian/pacific islander/asian-american,0,8,4,economics,19,18,19,18,14,12,10,10,10,10,10,10,35,10,35,10,10,0,8,9,8,9,8,7,9,9,7,9,7,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,0.09,4,2,,8,7,0,0,1,0,
3,14,female,25,23,2,european/caucasian-american,european/caucasian-american,1,8,4,economics,30,5,15,40,5,5,7,9,8,8,8,8,35,10,35,10,10,0,8,9,8,9,8,9,7,9,7,9,7,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,-0.04,4,2,,8,7,0,0,1,0,
3,15,female,25,24,1,european/caucasian-american,latino/hispanic american,0,8,4,economics,30,10,20,10,10,20,6,10,8,6,,,35,10,35,10,10,0,8,9,8,9,8,9,10,10,10,10,10,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,-0.14,4,2,,9,,0,0,1,0,
3,16,female,25,25,0,european/caucasian-american,european/caucasian-american,1,8,4,economics,50,0,30,10,0,10,7,6,6,6,6,6,35,10,35,10,10,0,8,9,8,9,8,8,10,10,7,9,9,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,-0.3,4,2,,8,,0,0,1,0,
3,17,female,25,30,5,european/caucasian-american,european/caucasian-american,1,8,4,economics,35,15,25,10,5,10,6,3,5,4,5,4,35,10,35,10,10,0,8,9,8,9,8,8,9,10,7,7,9,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,-0.26,4,2,,8,7,0,0,0,0,
3,18,female,25,27,2,european/caucasian-american,european/caucasian-american,1,8,4,economics,33.33,11.11,11.11,11.11,11.11,22.22,4,5,6,4,6,4,35,10,35,10,10,0,8,9,8,9,8,7,9,9,8,9,7,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,0.29,4,2,,8,7,0,0,0,0,
3,19,female,25,28,3,european/caucasian-american,european/caucasian-american,1,8,4,economics,50,0,25,10,0,15,7,7,6,8,7,7,35,10,35,10,10,0,8,9,8,9,8,9,9,9,9,9,9,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,-0.15,4,2,,9,7,0,0,1,0,
3,20,female,25,24,1,european/caucasian-american,european/caucasian-american,1,8,4,economics,100,0,0,0,0,0,5,6,8,5,8,6,35,10,35,10,10,0,8,9,8,9,8,8,7,9,7,9,7,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,-0.47,4,2,,8,7,0,0,0,0,
4,11,female,23,27,4,european/caucasian-american,european/caucasian-american,1,1,1,law,35,20,20,20,0,5,6,7,8,7,7,5,20,20,20,20,10,10,7,8,9,7,8,4,10,8,5,8,7,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,-0.18,1,2,2,6,7,0,0,0,0,
4,12,female,23,22,1,european/caucasian-american,european/caucasian-american,1,1,1,law,60,0,0,40,0,0,6,5,10,6,6,5,20,20,20,20,10,10,7,8,9,7,8,8,7,8,10,7,8,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,-0.18,1,2,2,8,1,1,0,0,0,
4,13,female,23,22,1,european/caucasian-american,asian/pacific islander/asian-american,0,1,1,law,19,18,19,18,14,12,10,10,10,10,10,10,20,20,20,20,10,10,7,8,9,7,8,4,7,8,8,6,7,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0.05,1,2,2,4,1,0,0,1,0,
4,14,female,23,23,0,european/caucasian-american,european/caucasian-american,1,1,1,law,30,5,15,40,5,5,7,7,7,9,9,9,20,20,20,20,10,10,7,8,9,7,8,8,10,7,10,7,10,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,-0.18,1,2,2,8,10,1,1,1,1,
4,15,female,23,24,1,european/caucasian-american,latino/hispanic american,0,1,1,law,30,10,20,10,10,20,8,8,9,8,8,9,20,20,20,20,10,10,7,8,9,7,8,6,9,8,9,8,9,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0.21,1,2,2,7,7,0,0,1,0,
4,16,female,23,25,2,european/caucasian-american,european/caucasian-american,1,1,1,law,50,0,30,10,0,10,6,6,7,7,8,7,20,20,20,20,10,10,7,8,9,7,8,5,10,8,4,8,2,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0.37,1,2,2,4,3,0,0,1,0,
4,17,female,23,30,7,european/caucasian-american,european/caucasian-american,1,1,1,law,35,15,25,10,5,10,7,6,3,5,6,5,20,20,20,20,10,10,7,8,9,7,8,7,10,10,7,10,5,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0.35,1,2,2,5,1,0,0,1,0,
4,18,female,23,27,4,european/caucasian-american,european/caucasian-american,1,1,1,law,33.33,11.11,11.11,11.11,11.11,22.22,6,7,8,6,6,5,20,20,20,20,10,10,7,8,9,7,8,5,9,9,5,9,7,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0.15,1,2,2,6,6,0,0,0,0,
4,19,female,23,28,5,european/caucasian-american,european/caucasian-american,1,1,1,law,50,0,25,10,0,15,7,7,7,10,9,10,20,20,20,20,10,10,7,8,9,7,8,9,8,10,10,7,8,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,-0.47,1,2,2,8,8,0,1,1,1,
4,20,female,23,24,1,european/caucasian-american,european/caucasian-american,1,1,1,law,100,0,0,0,0,0,7,8,8,7,8,7,20,20,20,20,10,10,7,8,9,7,8,8,9,10,10,8,8,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,-0.19,1,2,2,10,8,0,1,0,0,
5,11,female,21,27,6,european/caucasian-american,european/caucasian-american,1,8,1,law,35,20,20,20,0,5,6,8,8,8,7,6,20,5,25,25,10,15,6,3,6,10,8,5,8,8,2,2,2,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,-0.43,7,10,,7,5,0,0,0,0,
5,12,female,21,22,1,european/caucasian-american,european/caucasian-american,1,8,1,law,60,0,0,40,0,0,6,7,10,7,6,5,20,5,25,25,10,15,6,3,6,10,8,8,6,6,5,5,5,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,0,7,10,,6,4,1,0,0,0,
5,13,female,21,22,1,european/caucasian-american,asian/pacific islander/asian-american,0,8,1,law,19,18,19,18,14,12,10,10,10,10,10,10,20,5,25,25,10,15,6,3,6,10,8,4,6,8,8,6,5,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,-0.17,7,10,,6,5,1,0,1,0,
5,14,female,21,23,2,european/caucasian-american,european/caucasian-american,1,8,1,law,30,5,15,40,5,5,6,8,6,8,10,10,20,5,25,25,10,15,6,3,6,10,8,8,5,5,7,7,9,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,0.08,7,10,,8,2,1,1,1,1,
5,15,female,21,24,3,european/caucasian-american,latino/hispanic american,0,8,1,law,30,10,20,10,10,20,5,9,9,7,9,5,20,5,25,25,10,15,6,3,6,10,8,6,7,7,5,4,8,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,-0.16,7,10,,7,4,0,0,0,0,
5,16,female,21,25,4,european/caucasian-american,european/caucasian-american,1,8,1,law,50,0,30,10,0,10,5,8,7,7,7,7,20,5,25,25,10,15,6,3,6,10,8,5,6,7,5,7,8,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,0.06,7,10,,7,3,0,1,0,0,
5,17,female,21,30,9,european/caucasian-american,european/caucasian-american,1,8,1,law,35,15,25,10,5,10,2,3,4,4,5,3,20,5,25,25,10,15,6,3,6,10,8,6,6,8,5,5,6,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,-0.05,7,10,,6,3,0,1,0,0,
5,18,female,21,27,6,european/caucasian-american,european/caucasian-american,1,8,1,law,33.33,11.11,11.11,11.11,11.11,22.22,5,5,6,5,5,5,20,5,25,25,10,15,6,3,6,10,8,5,5,7,6,7,5,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,0.07,7,10,,6,4,0,1,0,0,
5,19,female,21,28,7,european/caucasian-american,european/caucasian-american,1,8,1,law,50,0,25,10,0,15,5,9,9,9,9,6,20,5,25,25,10,15,6,3,6,10,8,7,5,7,8,7,9,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,-0.13,7,10,,9,4,0,1,1,1,
5,20,female,21,24,3,european/caucasian-american,european/caucasian-american,1,8,1,law,100,0,0,0,0,0,3,10,7,7,10,5,20,5,25,25,10,15,6,3,6,10,8,9,6,7,9,6,5,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,-0.06,7,10,,10,3,0,1,0,0,
6,11,female,23,27,4,asian/pacific islander/asian-american,european/caucasian-american,0,1,1,law,35,20,20,20,0,5,7,9,8,9,8,4,10,25,20,25,5,15,5,7,8,9,5,6,9,7,6,7,6,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.33,4,3,4,6,6,0,1,0,0,
6,12,female,23,22,1,asian/pacific islander/asian-american,european/caucasian-american,0,1,1,law,60,0,0,40,0,0,6,8,10,6,7,6,10,25,20,25,5,15,5,7,8,9,5,6,9,9,6,8,2,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.37,4,3,4,7,6,0,1,0,0,
6,13,female,23,22,1,asian/pacific islander/asian-american,asian/pacific islander/asian-american,1,1,1,law,19,18,19,18,14,12,10,10,10,10,10,10,10,25,20,25,5,15,5,7,8,9,5,4,7,9,4,3,2,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,-0.51,4,3,4,6,2,1,0,1,0,
6,14,female,23,23,0,asian/pacific islander/asian-american,european/caucasian-american,0,1,1,law,30,5,15,40,5,5,6,8,8,7,9,8,10,25,20,25,5,15,5,7,8,9,5,8,6,7,8,2,8,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.12,4,3,4,9,4,0,1,1,1,
6,15,female,23,24,1,asian/pacific islander/asian-american,latino/hispanic american,0,1,1,law,30,10,20,10,10,20,9,7,9,7,9,6,10,25,20,25,5,15,5,7,8,9,5,5,4,8,8,4,2,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.35,4,3,4,4,3,1,0,1,0,
6,16,female,23,25,2,asian/pacific islander/asian-american,european/caucasian-american,0,1,1,law,50,0,30,10,0,10,6,6,8,8,8,7,10,25,20,25,5,15,5,7,8,9,5,3,7,6,1,1,1,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.19,4,3,4,2,2,0,0,1,0,
6,17,female,23,30,7,asian/pacific islander/asian-american,european/caucasian-american,0,1,1,law,35,15,25,10,5,10,5,6,8,4,5,4,10,25,20,25,5,15,5,7,8,9,5,8,8,8,8,3,4,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.47,4,3,4,8,7,0,1,0,0,
6,18,female,23,27,4,asian/pacific islander/asian-american,european/caucasian-american,0,1,1,law,33.33,11.11,11.11,11.11,11.11,22.22,6,7,8,7,8,5,10,25,20,25,5,15,5,7,8,9,5,4,8,9,2,8,3,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.03,4,3,4,5,5,0,0,0,0,
6,19,female,23,28,5,asian/pacific islander/asian-american,european/caucasian-american,0,1,1,law,50,0,25,10,0,15,6,7,7,6,6,6,10,25,20,25,5,15,5,7,8,9,5,7,6,8,8,6,9,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.46,4,3,4,9,6,0,1,1,1,
6,20,female,23,24,1,asian/pacific islander/asian-american,european/caucasian-american,0,1,1,law,100,0,0,0,0,0,7,10,10,6,10,7,10,25,20,25,5,15,5,7,8,9,5,8,9,9,9,10,7,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.43,4,3,4,9,8,0,1,0,0,
7,11,female,22,27,5,asian/pacific islander/asian-american,european/caucasian-american,0,2,4,law,35,20,20,20,0,5,7,8,8,8,7,7,15,15,25,20,15,10,6,6,5,7,7,4,8,8,5,7,4,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.19,7,3,2,7,4,0,0,0,0,
7,12,female,22,22,0,asian/pacific islander/asian-american,european/caucasian-american,0,2,4,law,60,0,0,40,0,0,7,9,10,6,6,5,15,15,25,20,15,10,6,6,5,7,7,6,6,8,4,9,4,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.21,7,3,2,7,3,1,0,1,0,
7,13,female,22,22,0,asian/pacific islander/asian-american,asian/pacific islander/asian-american,1,2,4,law,19,18,19,18,14,12,10,10,10,10,10,10,15,15,25,20,15,10,6,6,5,7,7,3,6,8,7,8,8,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.52,7,3,2,7,8,1,0,1,0,
7,14,female,22,23,1,asian/pacific islander/asian-american,european/caucasian-american,0,2,4,law,30,5,15,40,5,5,8,8,9,8,9,9,15,15,25,20,15,10,6,6,5,7,7,7,8,8,7,7,6,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,-0.46,7,3,2,8,6,1,1,1,1,
7,15,female,22,24,2,asian/pacific islander/asian-american,latino/hispanic american,0,2,4,law,30,10,20,10,10,20,8,7,9,6,9,5,15,15,25,20,15,10,6,6,5,7,7,4,7,7,4,8,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,-0.27,7,3,2,5,6,1,0,1,0,
7,16,female,22,25,3,asian/pacific islander/asian-american,european/caucasian-american,0,2,4,law,50,0,30,10,0,10,8,8,8,6,6,6,15,15,25,20,15,10,6,6,5,7,7,4,8,7,4,5,4,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.59,7,3,2,5,5,0,0,1,0,
7,17,female,22,30,8,asian/pacific islander/asian-american,european/caucasian-american,0,2,4,law,35,15,25,10,5,10,7,6,5,4,4,3,15,15,25,20,15,10,6,6,5,7,7,7,7,8,7,7,7,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.31,7,3,2,8,7,0,1,0,0,
7,18,female,22,27,5,asian/pacific islander/asian-american,european/caucasian-american,0,2,4,law,33.33,11.11,11.11,11.11,11.11,22.22,8,7,6,7,7,5,15,15,25,20,15,10,6,6,5,7,7,5,7,8,5,9,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.08,7,3,2,5,7,0,0,1,0,
7,19,female,22,28,6,asian/pacific islander/asian-american,european/caucasian-american,0,2,4,law,50,0,25,10,0,15,9,7,9,9,9,10,15,15,25,20,15,10,6,6,5,7,7,6,6,8,8,8,6,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,-0.34,7,3,2,6,6,0,1,1,1,
7,20,female,22,24,2,asian/pacific islander/asian-american,european/caucasian-american,0,2,4,law,100,0,0,0,0,0,7,6,8,6,8,7,15,15,25,20,15,10,6,6,5,7,7,8,6,7,7,8,6,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,-0.16,7,3,2,7,5,0,1,0,0,
8,11,female,25,27,2,european/caucasian-american,european/caucasian-american,1,1,1,masters in public administration,35,20,20,20,0,5,8,7,6,6,6,5,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,5,8,7,4,7,5,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,-0.03,6,10,,4,5,0,1,0,0,
8,12,female,25,22,3,european/caucasian-american,european/caucasian-american,1,1,1,masters in public administration,60,0,0,40,0,0,8,8,10,7,6,5,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,8,7,7,9,6,7,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,-0.11,6,10,,8,7,0,1,1,1,
8,13,female,25,22,3,european/caucasian-american,asian/pacific islander/asian-american,0,1,1,masters in public administration,19,18,19,18,14,12,10,10,10,10,10,10,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,5,8,8,6,7,7,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,0.42,6,10,,5,5,0,1,1,1,
8,14,female,25,23,2,european/caucasian-american,european/caucasian-american,1,1,1,masters in public administration,30,5,15,40,5,5,8,8,8,8,8,7,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,8,6,5,6,6,5,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,-0.4,6,10,,5,6,0,1,1,1,
8,15,female,25,24,1,european/caucasian-american,latino/hispanic american,0,1,1,masters in public administration,30,10,20,10,10,20,9,9,8,9,,7,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,6,8,8,5,6,7,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,-0.23,6,10,,6,5,0,1,1,1,
8,16,female,25,25,0,european/caucasian-american,european/caucasian-american,1,1,1,masters in public administration,50,0,30,10,0,10,8,7,7,7,8,7,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,6,8,8,5,6,7,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,0.28,6,10,,6,5,0,1,1,1,
8,17,female,25,30,5,european/caucasian-american,european/caucasian-american,1,1,1,masters in public administration,35,15,25,10,5,10,6,4,7,5,6,4,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,6,7,8,5,7,7,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,0.05,6,10,,6,6,0,1,0,0,
8,18,female,25,27,2,european/caucasian-american,european/caucasian-american,1,1,1,masters in public administration,33.33,11.11,11.11,11.11,11.11,22.22,9,8,8,8,7,5,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,5,6,7,4,5,6,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,0.17,6,10,,5,4,0,1,1,1,
8,19,female,25,28,3,european/caucasian-american,european/caucasian-american,1,1,1,masters in public administration,50,0,25,10,0,15,8,7,8,10,8,10,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,8,8,5,9,8,9,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,-0.47,6,10,,7,10,0,1,1,1,
8,20,female,25,24,1,european/caucasian-american,european/caucasian-american,1,1,1,masters in public administration,100,0,0,0,0,0,8,10,9,9,8,8,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,7,6,8,7,9,8,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,-0.21,6,10,,8,7,0,1,1,1,
9,11,female,26,27,1,other,european/caucasian-american,0,1,1,masters in public administration,35,20,20,20,0,5,6,8,7,8,7,5,20,10,20,30,10,10,7,6,10,7,7,8,10,9,8,7,6,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,0.19,6,15,1,5,5,0,1,0,0,
9,12,female,26,22,4,other,european/caucasian-american,0,1,1,masters in public administration,60,0,0,40,0,0,8,8,10,7,6,5,20,10,20,30,10,10,7,6,10,7,7,10,10,10,10,10,10,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,0.03,6,15,1,10,5,0,1,1,1,
9,13,female,26,22,4,other,asian/pacific islander/asian-american,0,1,1,masters in public administration,19,18,19,18,14,12,10,10,10,10,10,10,20,10,20,30,10,10,7,6,10,7,7,5,10,10,6,6,6,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,0.68,6,15,1,8,5,0,1,1,1,
9,14,female,26,23,3,other,european/caucasian-american,0,1,1,masters in public administration,30,5,15,40,5,5,7,8,7,8,8,7,20,10,20,30,10,10,7,6,10,7,7,10,9,8,8,7,7,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,-0.26,6,15,1,7,5,0,1,1,1,
